Kitkat,Gushers,Cheetos XXtra Flamin' Hot,Garden Veggie Straws Sea Salt,Little Bites,Twinkies
Kitkat White,Sour Patch Kids,Fritos Honey BBQ,Garden Veggie Straws Zesty Ranch,Rold Gold Tiny Twist,Poptarts Strawberry
Oreo,Sour Patch Kids Watermelon,Takis Fuego,Bugles,Goldfish,Poptarts Brown Sugar Cinnamon
Swedish Fish Mini,Haribo Goldbears,Fritos Chili Cheese,Utz Original,Cheezit,Pirate's Booty
Mike and Ike,Trolli,Doritos Cool Ranch,Sun Chips French Onion,Famous Amos Chocolate Chip,Funyuns
Whoppers,Chex Mix,,,,
Trail Mix,Scooby-Doo,,,,
Fudge Stripes Mini,Animal Crackers,,,,
Jumbo Honey Bun,Extra Gum,,,,
Mini Nilla,Trident Gum,,,,
