item_name,type
3 Musketeers,Candy
Airheads,Candy
Airheads Bites,Candy
Almond Joy,Candy
Animal Crackers,Crackers
Baby Ruths,Candy
Bugles,Chips
Butterfinger,Candy
Cheetos Crunchy,Chips
Cheetos Puffs,Chips
Cheetos XXtra Flamin' Hot,Chips
Cheezit,Crackers
Chex Mix,Chips
Chips Ahoy,Cookies
Crunch,Candy
Doritos Cool Ranch,Chips
Doritos Nacho Cheese,Chips
Extra Gum,Gum
Famous Amos Chocolate Chip,Cookies
Fig Newtons,Bars
Fritos Chili Cheese,Chips
Fritos Honey BBQ,Chips
Fritos Original,Chips
Fruit by the foot,Candy
Fruit Roll-Ups,Candy
Fruit Snacks Mixed Fruit,Candy
Fruit Snacks Strawberry,Candy
Fudge Stripes Mini,Cookies
Funyuns,Chips
Garden Veggie Straws Sea Salt,Chips
Garden Veggie Straws Zesty Ranch,Chips
Golden Oreo,Cookies
Goldfish,Crackers
Grandma's Chocolate Brownie,Cookies
Grandma's Chocolate Chip,Cookies
Grandma's Oatmeal Raisin,Cookies
Grandma's Peanut Butter,Cookies
Gushers,Candy
Haribo Goldbears,Candy
Hershey's Milk Chocolate,Candy
Jumbo Honey Bun,Pastry
Kitkat,Candy
Kitkat White,Candy
Lay's Barbecue,Chips
Lay's Classic,Chips
Lay's Sour Cream & Onion,Chips
Lays Salt & Vinegar,Chips
Little Bites,Pastry
M&M,Candy
M&M Peanut,Candy
Mike and Ike,Candy
Milky Way,Candy
Mini Nilla,Pastry
Nutrigrain,Bars
Nutter Butter,Cookies
Oreo,Cookies
Payday,Candy
Pirate's Booty,Chips
Popcorners Kettle Corn,Chips
Popcorners Sea Salt,Chips
Popcorners White Chedder,Chips
Poptarts Brown Sugar Cinnamon,Pastry
Poptarts Strawberry,Pastry
Quest Chocolate Chip Dough,Bars
Quest Cookies & Cream,Bars
Reese Cups,Candy
Reese Pieces,Candy
Rice Krispies Treat,Bars
Ritz,Crackers
Rold Gold Tiny Twist,Chips
Ruffles,Chips
Scooby-Doo,Crackers
Skinny Popcorn,Chips
Skittles,Candy
Smartfood White Chedder,Chips
Snickers,Candy
Sour Patch Kids,Candy
Sour Patch Kids Watermelon,Candy
Starburst,Candy
Sun Chips French Onion,Chips
Sun Chips Garden Salsa,Chips
Sun Chips Harvest Chedder,Chips
Sun Chips Honey BBQ,Chips
Sun Chips Original,Chips
Swedish Fish Mini,Candy
Takis Fuego,Chips
Trail Mix,Chips
Trident Gum,Gum
Trolli,Candy
Twinkies,Pastry
Twix,Candy
Utz Original,Chips
Whoppers,Candy
